--- ripple_adder ---
VCD info: dumpfile build/adder.vcd opened for output.
FAIL: 11 + 7 + 0 -> got 10, want 18
FAIL: 11 + 7 + 1 -> got 11, want 19
FAIL: 11 + 8 + 1 -> got 18, want 20
FAIL: 11 + 9 + 0 -> got 16, want 20
FAIL: 11 + 9 + 1 -> got 17, want 21
FAIL: 11 + 10 + 1 -> got 20, want 22
FAIL: 11 + 12 + 1 -> got 22, want 24
FAIL: 11 + 13 + 0 -> got 20, want 24
FAIL: 11 + 13 + 1 -> got 21, want 25
FAIL: 11 + 14 + 0 -> got 17, want 25
FAIL: 11 + 14 + 1 -> got 16, want 26
FAIL: 11 + 15 + 0 -> got 18, want 26
FAIL: 11 + 15 + 1 -> got 19, want 27
FAIL: 12 + 1 + 1 -> got 12, want 14
FAIL: 12 + 3 + 1 -> got 14, want 16
FAIL: 12 + 4 + 0 -> got 0, want 16
FAIL: 12 + 4 + 1 -> got 1, want 17
FAIL: 12 + 5 + 0 -> got 1, want 17
FAIL: 12 + 5 + 1 -> got 0, want 18
FAIL: 12 + 6 + 0 -> got 2, want 18
FAIL: 12 + 6 + 1 -> got 3, want 19
FAIL: 12 + 7 + 0 -> got 3, want 19
FAIL: 12 + 7 + 1 -> got 2, want 20
FAIL: 12 + 9 + 1 -> got 20, want 22
FAIL: 12 + 11 + 1 -> got 22, want 24
FAIL: 12 + 13 + 1 -> got 24, want 26
FAIL: 12 + 15 + 1 -> got 26, want 28
FAIL: 13 + 0 + 1 -> got 12, want 14
FAIL: 13 + 2 + 1 -> got 14, want 16
FAIL: 13 + 3 + 0 -> got 12, want 16
FAIL: 13 + 3 + 1 -> got 13, want 17
FAIL: 13 + 4 + 0 -> got 1, want 17
FAIL: 13 + 4 + 1 -> got 0, want 18
FAIL: 13 + 5 + 0 -> got 2, want 18
FAIL: 13 + 5 + 1 -> got 3, want 19
FAIL: 13 + 6 + 0 -> got 3, want 19
FAIL: 13 + 6 + 1 -> got 2, want 20
FAIL: 13 + 7 + 0 -> got 0, want 20
FAIL: 13 + 7 + 1 -> got 1, want 21
FAIL: 13 + 8 + 1 -> got 20, want 22
FAIL: 13 + 10 + 1 -> got 22, want 24
FAIL: 13 + 11 + 0 -> got 20, want 24
FAIL: 13 + 11 + 1 -> got 21, want 25
FAIL: 13 + 12 + 1 -> got 24, want 26
FAIL: 13 + 14 + 1 -> got 26, want 28
FAIL: 13 + 15 + 0 -> got 24, want 28
FAIL: 13 + 15 + 1 -> got 25, want 29
FAIL: 14 + 1 + 1 -> got 14, want 16
FAIL: 14 + 2 + 0 -> got 8, want 16
FAIL: 14 + 2 + 1 -> got 9, want 17
FAIL: 14 + 3 + 0 -> got 9, want 17
FAIL: 14 + 3 + 1 -> got 8, want 18
FAIL: 14 + 4 + 0 -> got 2, want 18
FAIL: 14 + 4 + 1 -> got 3, want 19
FAIL: 14 + 5 + 0 -> got 3, want 19
FAIL: 14 + 5 + 1 -> got 2, want 20
FAIL: 14 + 6 + 0 -> got 4, want 20
FAIL: 14 + 6 + 1 -> got 5, want 21
FAIL: 14 + 7 + 0 -> got 5, want 21
FAIL: 14 + 7 + 1 -> got 4, want 22
FAIL: 14 + 9 + 1 -> got 22, want 24
FAIL: 14 + 10 + 0 -> got 16, want 24
FAIL: 14 + 10 + 1 -> got 17, want 25
FAIL: 14 + 11 + 0 -> got 17, want 25
FAIL: 14 + 11 + 1 -> got 16, want 26
FAIL: 14 + 13 + 1 -> got 26, want 28
FAIL: 14 + 15 + 1 -> got 28, want 30
FAIL: 15 + 0 + 1 -> got 14, want 16
FAIL: 15 + 1 + 0 -> got 12, want 16
FAIL: 15 + 1 + 1 -> got 13, want 17
FAIL: 15 + 2 + 0 -> got 9, want 17
FAIL: 15 + 2 + 1 -> got 8, want 18
FAIL: 15 + 3 + 0 -> got 10, want 18
FAIL: 15 + 3 + 1 -> got 11, want 19
FAIL: 15 + 4 + 0 -> got 3, want 19
FAIL: 15 + 4 + 1 -> got 2, want 20
FAIL: 15 + 5 + 0 -> got 0, want 20
FAIL: 15 + 5 + 1 -> got 1, want 21
FAIL: 15 + 6 + 0 -> got 5, want 21
FAIL: 15 + 6 + 1 -> got 4, want 22
FAIL: 15 + 7 + 0 -> got 6, want 22
FAIL: 15 + 7 + 1 -> got 7, want 23
FAIL: 15 + 8 + 1 -> got 22, want 24
